#{"t_start": 1598508025.4776108, "env_id": "Pendulum-v0"}
r,l,t
-383.868963,200,56.293675
-508.712768,200,56.35152
-386.150783,200,56.407371
-495.056134,200,56.466213
-490.310873,200,56.521067
-123.906527,200,111.762522
-122.343955,200,111.81937
-121.122297,200,111.873226
-253.710056,200,111.927321
-243.284812,200,111.980185
-327.528732,200,166.627375
-233.834797,200,166.690207
-120.662114,200,166.746058
-120.399551,200,166.805569
-230.51063,200,166.86601
-241.906712,200,221.492603
-232.055285,200,221.547239
-126.909597,200,221.602092
-232.946197,200,221.658248
-126.60467,200,221.712825
-128.948281,200,277.182105
-245.775762,200,277.242934
-277.703123,200,277.300781
-233.289804,200,277.358625
-237.318652,200,277.41647
,14.730518
-1374.989302,200,15.287522
-1271.280758,200,15.864511
-1344.926953,200,16.433765
-1027.318508,200,17.026505
-1377.879107,200,17.577288
-1298.815311,200,18.101804
-957.007239,200,18.664595
-814.544064,200,19.249254
-1169.537286,200,19.79841
-1055.380765,200,20.36795
-1208.567056,200,20.920463
-991.779772,200,21.473353
-1154.491233,200,22.041336
-1227.257759,200,22.601351
-1332.645457,200,23.165926
-1193.1169,200,23.727423
-1188.310521,200,24.282122
-1163.103868,200,24.839931
-1020.469738,200,25.392562
-1049.535082,200,25.946175
-1195.026927,200,26.497014
-814.89529,200,27.043447
-1047.689964,200,27.589989
-942.424203,200,28.1829
-642.2675,200,28.777207
-610.41158,200,29.357582
-513.177871,200,29.954351
-386.029979,200,30.510863
-512.720606,200,31.100978
-388.586738,200,31.688827
-629.790328,200,32.253474
-372.447127,200,32.830883
-380.517861,200,33.409204
-637.670877,200,33.961726
-414.455199,200,34.567852
-735.868956,200,35.324847
-511.685078,200,35.881561
-513.224732,200,36.460923
-302.671272,200,37.021421
-746.813926,200,37.608077
-740.473372,200,38.150601
-781.107847,200,38.711102
-512.050233,200,39.293538
-619.528978,200,39.842077
-383.408454,200,40.377173
-508.478624,200,40.968825
-610.450934,200,41.506006
-509.934693,200,42.0488
-633.738296,200,42.621945
-621.650356,200,43.159019
-612.568,200,43.682382
-619.266767,200,44.199303
-506.265036,200,44.721444
-518.750731,200,45.304928
-579.045149,200,45.892281
-520.818434,200,46.418872
-511.181982,200,46.952213
-631.662151,200,47.478833
-502.914183,200,47.998444
-623.080287,200,48.556185
-501.732285,200,49.137522
-506.802134,200,49.684058
-423.306567,200,50.246608
-505.363273,200,50.780707
-507.96017,200,51.304486
-506.899778,200,51.822085
-498.833738,200,52.343877
-626.931105,200,52.930649
-507.2525,200,53.483938
-502.417905,200,54.024203
